Country Name,InterestPayments2019,InterestPayments2020,InterestPayments2021,InterestPayments2022,InterestPayments2023
Afghanistan,14783344.0,10334268.3,6814867.7,11619508.7,
Albania,122004605.8,156942009.9,127597937.5,165812087.3,
Algeria,77036089.4,56481262.1,45596936.8,146635561.6,
Angola,2928889830.0,2682127115.0,2350152700.0,2757730732.0,
Argentina,14022834570.0,7725405138.0,5475223019.0,7046463910.0,
Armenia,413865013.4,351777643.6,358446652.7,495263597.2,
Azerbaijan,604927447.9,560595042.3,443656393.0,518663373.7,
Bangladesh,1139479690.0,1048309464.0,1116380514.0,1505202068.0,
Belarus,1608924010.0,1410595437.0,1376034372.0,1579613977.0,
Belize,53763496.0,34521738.2,19397825.5,33264164.2,
Benin,79215014.4,116139157.2,110492307.9,177598061.0,
Bhutan,33115761.4,20641182.1,45348297.1,47188562.6,
Bolivia,421405823.7,411686347.4,356907964.3,445455401.0,
Bosnia and Herzegovina,132237629.6,122197900.1,139375138.4,458776975.1,
Botswana,45200456.6,35926877.3,17307813.7,25396887.8,
Brazil,28368181556.0,20230937828.0,29613322835.0,19553609996.0,
Bulgaria,1463250605.0,1164979858.0,1267838532.0,1697972307.0,
Burkina Faso,348624158.3,274229766.6,55058625.7,66755664.0,
Burundi,5451751.6,4175392.9,5846135.0,8784380.8,
Cabo Verde,19264691.3,16661883.4,10544764.9,20303547.9,
Cambodia,239692176.7,196840971.4,224590591.6,403147554.0,
Cameroon,349674775.2,347723242.5,291175689.6,330667016.8,
Central African Republic,3277134.3,1782319.3,2037226.1,4900616.0,
Chad,59432813.7,50648162.1,49347361.2,28925526.2,
China,95171573351.0,92492024558.0,111000000000.0,103000000000.0,
Colombia,7146315745.0,6647245007.0,7024955566.0,7470392625.0,
Comoros,516204.9,1702196.8,663735.2,1174523.5,
"Congo, Dem. Rep.",788599268.0,67124816.3,62456988.1,149916055.9,
"Congo, Rep.",85785365.8,97206244.9,71118825.7,178013549.0,
Costa Rica,1186066314.0,850641738.2,1217421523.0,1291002014.0,
Cote d'Ivoire,598968520.7,730810231.8,742319486.3,690342666.2,
Djibouti,40046241.3,36282569.5,27813462.3,43978322.4,
Dominica,6829310.5,6754623.0,6588998.3,8945527.8,
Dominican Republic,1819710732.0,1694051576.0,2615584487.0,2173117863.0,
East Asia & Pacific (excluding high income),121000000000.0,117000000000.0,130000000000.0,129000000000.0,
Ecuador,2837412536.0,1566908784.0,2016764903.0,1930753129.0,
"Egypt, Arab Rep.",4169719823.0,4229908211.0,4683243288.0,6127716357.0,
El Salvador,750763234.8,953080420.3,1273585187.0,1247742187.0,
Eritrea,2813993.9,2461865.2,2208356.8,2267517.3,
Eswatini,23657778.7,21126623.0,16414303.4,31614936.7,
Ethiopia,687049143.3,609881233.0,472101632.3,488651901.1,
Europe & Central Asia (excluding high income),49672892805.0,49242884633.0,52861847352.0,51469889199.0,
Fiji,152636421.4,25047647.7,9917713.9,68407369.5,
Gabon,276023375.4,286103229.3,232174355.7,224306617.9,
"Gambia, The",9244052.8,8215021.0,11301845.5,12425948.0,
Georgia,744514337.5,614617829.2,685699155.8,750311472.9,
Ghana,948303063.7,981009080.1,1264946209.0,1200360998.0,
Grenada,17281772.2,18653247.8,18681043.4,16865699.1,
Guatemala,1046430599.0,1243733295.0,1060568426.0,1115108043.0,
Guinea,36897398.9,43019883.3,52989781.3,63445990.3,
Guinea-Bissau,9457945.5,12416880.9,19647929.1,34918817.3,
Guyana,33779234.5,30655632.8,25436937.2,31552194.5,
Haiti,4291963.4,2805681.0,3491477.3,23078292.5,
Honduras,338164283.3,328904509.0,326952936.2,359852985.0,
IDA only,12593124230.0,10761880115.0,12556090532.0,13785885730.0,
IDA total,21608681322.0,18253878612.0,19698641791.0,23628080512.0,
India,16495343388.0,12922747405.0,13570990085.0,19669668709.0,
Indonesia,13546219314.0,14987273425.0,11244529759.0,12745505665.0,
"Iran, Islamic Rep.",78029681.2,65433033.5,90013163.2,112393299.8,
Iraq,920362007.9,835496007.1,686514976.9,636071740.0,
Jamaica,788620766.5,727108668.9,687930707.7,762913011.6,
Jordan,1162105895.0,821187574.2,839215769.1,1145349099.0,
Kazakhstan,3449328075.0,3460232305.0,3804430618.0,5589236684.0,
Kenya,1328433901.0,1232412101.0,981653591.2,1252926117.0,
Kosovo,51641177.0,49054470.5,19255626.2,17733258.1,
Kyrgyz Republic,186277131.8,111969149.8,101426281.9,259653943.2,
Lao PDR,403919899.6,344502428.2,277639712.2,302570853.2,
Latin America & Caribbean (excluding high income),88207417037.0,69188042525.0,78547164368.0,69331008521.0,
Least developed countries: UN classification,10998270388.0,9022497820.0,10353877730.0,12442487382.0,
Lebanon,4764465951.0,2423931426.0,1666530860.0,1667318001.0,
Lesotho,24309293.7,16240599.8,262168688.6,240207698.6,
Liberia,10186465.8,11723885.3,9922133.5,18381423.8,
Low & middle income,319000000000.0,285000000000.0,312000000000.0,312000000000.0,
Low income,3885153758.0,2827755697.0,3963869618.0,4460320524.0,
Lower middle income,61094009239.0,51069516768.0,50669199782.0,63162504720.0,
Madagascar,46338108.1,42120639.2,41505571.9,85604403.7,
Malawi,19956195.8,26858321.0,25071547.0,29844622.6,
Maldives,93462329.5,83417685.7,96656486.8,171069078.8,
Mali,50747858.3,37748769.8,60217268.0,65455332.8,
Mauritania,94778836.9,62057071.2,58990882.4,73362310.4,
Mauritius,719457928.1,424947351.1,415776283.4,627588101.3,
Mexico,25936365536.0,23644116312.0,23607441962.0,21143713031.0,
Middle East & North Africa (excluding high income),13379161785.0,10636712646.0,10262436156.0,12815948444.0,
Middle income,315000000000.0,283000000000.0,308000000000.0,307000000000.0,
Moldova,118232653.2,92025467.0,140471459.2,228671271.3,
Mongolia,594253340.0,528892998.8,397965553.4,513040917.1,
Montenegro,214938705.5,165284255.2,301712946.0,195703392.4,
Morocco,1248430292.0,1237456836.0,1372368553.0,1613419840.0,
Mozambique,1398172090.0,752049096.2,817154792.4,2531726816.0,
Myanmar,189906859.8,114103240.7,161876140.3,191422544.4,
Nepal,70049895.7,64324229.6,70214874.7,77789443.3,
Nicaragua,333579541.9,293668796.7,201778947.3,243531004.2,
Niger,36573833.1,50999211.7,64641612.9,69785586.3,
Nigeria,2133027434.0,2139080836.0,2071718833.0,2438200340.0,
North Macedonia,209356098.9,210263415.9,260504767.7,262174494.5,
Pakistan,3021319952.0,2522254081.0,2373277232.0,3497457514.0,
Papua New Guinea,795356502.3,210568236.5,339729498.1,524951743.5,
Paraguay,564283832.9,484041936.5,514638181.9,785729580.6,
Peru,2361257141.0,2178491455.0,2418488766.0,3585850473.0,
Philippines,3251372500.0,2993655756.0,2874754503.0,3344592456.0,
Russian Federation,17803514196.0,17813335681.0,21303529933.0,16174305157.0,
Rwanda,139104823.8,153491306.1,153753116.4,192040077.2,
Samoa,10800492.4,4901698.0,4326451.0,8036324.4,
Sao Tome and Principe,3626153.4,1257017.8,601381.5,2515173.8,
Senegal,549608381.9,587624353.5,1019601141.0,1316995411.0,
Serbia,726115793.0,599528066.1,697532015.7,796637645.0,
Sierra Leone,17366555.4,9691694.7,10154083.9,16360235.0,
Solomon Islands,4505781.8,3089256.9,3702211.4,4291147.6,
Somalia,638337.7,315461789.1,1980336.3,5182631.3,
South Africa,7631388982.0,7202923447.0,6837994834.0,6764431729.0,
South Asia,22677063956.0,18383722747.0,18929228724.0,25959727708.0,
Sri Lanka,1809509596.0,1711694432.0,1649546366.0,979732823.9,
St. Lucia,28784420.3,26006668.7,26071986.1,30899369.0,
St. Vincent and the Grenadines,8363807.3,7313127.1,6735069.1,8192535.9,
Sub-Saharan Africa (excluding high income),23370918501.0,20730980010.0,21410000155.0,23694363070.0,
Sudan,45640614.1,33725566.3,1539088452.0,38944171.0,
Suriname,166710054.9,111965628.2,54632557.4,54527679.8,
Syrian Arab Republic,3896053.2,1251285.3,436520.6,9013646.1,
Tajikistan,111128833.7,91815565.8,115366541.9,125223450.5,
Tanzania,395436802.5,363057927.2,339207284.3,450622549.9,
Thailand,3443819342.0,2592315528.0,1773080267.0,4846277763.0,
Timor-Leste,3929389.6,4152051.9,3277672.1,4532859.7,
Togo,37888851.7,40252173.2,99112923.6,96657428.6,
Tonga,2827697.5,1336515.9,2074453.8,2967350.0,
Tunisia,899202207.4,916931289.5,838487113.3,1292347285.0,
Turkiye,16654393498.0,17379839361.0,16516541762.0,17845088183.0,
Turkmenistan,356133309.6,242727816.4,205009159.3,192797792.4,
Uganda,134042822.4,298759080.3,441794778.4,470452921.2,
Ukraine,4010290721.0,3857228395.0,4121700488.0,2758668176.0,
Upper middle income,254000000000.0,232000000000.0,258000000000.0,244000000000.0,
Uzbekistan,691818962.9,787874964.9,875717571.4,1357581962.0,
Vanuatu,5335106.5,5172408.6,5119930.1,6592217.4,
Viet Nam,3641884524.0,2722839202.0,1921504643.0,2725426344.0,
"Yemen, Rep.",15867543.3,12353152.9,12215513.9,21705292.6,
Zambia,874797107.8,487717012.0,261241776.3,304326406.2,
Zimbabwe,373050387.3,50289540.5,56342770.8,104249630.9,
