Country Name,DebtService2019,DebtService2020,DebtService2021,DebtService2022,DebtService2023
Afghanistan,39807041.6,34557402.1,19234000.0,12017000.0,128425061.3
Albania,609550676.9,1093737094.0,807470072.6,650282732.0,1823995631.0
Algeria,142816920.5,141881152.4,168963016.6,178803915.4,171128986.3
Angola,10622709201.0,7700514390.0,9809414844.0,15088762678.0,12888710671.0
Argentina,41340577399.0,27293328533.0,19969689119.0,13111673927.0,42799857962.0
Armenia,1947732156.0,1857763187.0,1958835812.0,1450963844.0,1847488721.0
Azerbaijan,2047907516.0,1852311451.0,2146734707.0,1600429241.0,1922922250.0
Bangladesh,5489259305.0,3733984225.0,5301313175.0,6177180185.0,6493251496.0
Belarus,4207676616.0,4163333504.0,4207457251.0,6582433039.0,7459754328.0
Belize,103949434.5,79514093.9,618278653.7,75955536.4,184125502.0
Benin,492339221.1,210515685.9,728615887.0,455611487.8,672315348.6
Bhutan,60671012.6,57817383.5,118381819.0,117892986.3,227292830.2
Bolivia,1057722401.0,1155354169.0,1268363771.0,2369141633.0,1796591939.0
Bosnia and Herzegovina,1012809450.0,813698257.0,1456247532.0,1233134251.0,2050002755.0
Botswana,192085326.7,179304300.7,159062654.8,168178992.7,241080842.1
Brazil,149000000000.0,129000000000.0,161000000000.0,124000000000.0,92060997203.0
Bulgaria,5465282270.0,4940282333.0,5844082561.0,8742137203.0,7126039796.0
Burkina Faso,2281319754.0,2137937487.0,466668575.7,518109676.1,947714795.2
Burundi,20435074.4,14141375.9,18689600.3,25575491.9,43211263.0
Cabo Verde,60597648.0,59275736.0,54463109.7,97037870.9,147349142.2
Cambodia,1402309924.0,1493328030.0,2116637768.0,2283757880.0,2859403723.0
Cameroon,1103912532.0,1305103861.0,1930879695.0,1768431604.0,1978696872.0
Central African Republic,16737108.9,4121231.0,6727915.1,7155310.5,22941175.4
Chad,132423411.6,185320677.1,318855018.1,219691162.2,405728990.8
China,216000000000.0,214000000000.0,273000000000.0,371000000000.0,199000000000.0
Colombia,18482500777.0,21056817871.0,24569560436.0,26151651179.0,27371890271.0
Comoros,2167125.0,3323516.0,1589896.3,1664171.7,28462428.0
"Congo, Dem. Rep.",968112192.9,220559925.1,310886259.4,644345957.9,819055840.2
"Congo, Rep.",497650051.4,636115074.7,388605403.0,828777609.4,964359715.3
Costa Rica,3081451978.0,2918838511.0,2996335284.0,1682746015.0,8107919606.0
Cote d'Ivoire,2803295457.0,2266269814.0,1504377025.0,1853797776.0,3148602032.0
Djibouti,63873217.9,61617162.0,50646525.4,53240533.1,289747001.0
Dominica,25060619.7,25634977.2,17017284.0,27488945.0,32198860.8
Dominican Republic,3610944436.0,6193495105.0,2796016649.0,3498766844.0,4924493131.0
East Asia & Pacific (excluding high income),372000000000.0,334000000000.0,407000000000.0,527000000000.0,331000000000.0
Ecuador,9296917524.0,9064808968.0,6297864637.0,4909416261.0,6933717508.0
"Egypt, Arab Rep.",8284761763.0,11606780049.0,16985180822.0,14887248033.0,15416242330.0
El Salvador,5556810969.0,5132083857.0,5765254729.0,3283431454.0,3605201981.0
Eritrea,21023275.8,20217859.2,20565402.2,16585583.1,35861078.9
Eswatini,53153312.6,102393219.7,63464655.3,127624798.1,133888083.2
Ethiopia,2101548520.0,1970070783.0,2012832733.0,1993220497.0,3040489340.0
Europe & Central Asia (excluding high income),255000000000.0,269000000000.0,243000000000.0,254000000000.0,238000000000.0
Fiji,208515771.5,274173441.0,48418991.0,166193297.4,353640696.9
Gabon,675131040.0,1405486837.0,1119012904.0,491539725.8,690822303.6
"Gambia, The",37764758.5,30424408.7,33660441.5,31431145.6,102390362.5
Georgia,2344640800.0,2407460207.0,2656306465.0,3159350402.0,2840155159.0
Ghana,9265170542.0,2455181718.0,3359375092.0,2831400860.0,3025481307.0
Grenada,51216960.1,44299800.2,45731721.1,46256528.2,55421726.0
Guatemala,1993081267.0,3477723938.0,1519806952.0,5227350192.0,3706155362.0
Guinea,101824448.3,78443140.5,113250071.0,193336252.8,480766170.4
Guinea-Bissau,16566467.2,22999173.3,43847700.6,61507395.8,62204956.3
Guyana,137160511.2,132918687.6,109878781.9,137136686.7,376809873.1
Haiti,9819000.0,9744000.0,14906889.2,30224000.0,159128485.9
Honduras,881189851.3,1514797906.0,1188294837.0,1454239778.0,1146449049.0
IDA only,46894522625.0,34773047211.0,46714782722.0,43252959082.0,82704837463.0
IDA total,76727907041.0,60733672174.0,79325024533.0,83542770403.0,133000000000.0
India,47650723900.0,74641120056.0,47952537282.0,59456704992.0,66600383610.0
Indonesia,80590660914.0,66313712220.0,72877725908.0,69114512072.0,55034413036.0
"Iran, Islamic Rep.",288603533.4,288881658.7,300382008.4,205281039.5,170501517.1
Iraq,1919533902.0,2775677039.0,3202693551.0,4352541795.0,4388279711.0
Jamaica,2694531771.0,1462632109.0,1170568616.0,1212109180.0,2946380926.0
Jordan,2519037074.0,2668580262.0,2953874235.0,4196874977.0,3456246292.0
Kazakhstan,32522179381.0,30460668188.0,30941116936.0,43395994900.0,38478692287.0
Kenya,4251661807.0,2660203747.0,2285879829.0,3133759447.0,3774755466.0
Kosovo,218629761.1,298252634.5,344424469.0,281799695.5,515238671.5
Kyrgyz Republic,800560885.1,612966886.4,556877880.7,720019630.3,1538506350.0
Lao PDR,903369799.9,777984545.8,1874088759.0,1101968084.0,3733326232.0
Latin America & Caribbean (excluding high income),314000000000.0,288000000000.0,315000000000.0,246000000000.0,302000000000.0
Least developed countries: UN classification,34710709991.0,27838727737.0,41753057652.0,44669634157.0,71220767220.0
Lebanon,18357985551.0,12745014697.0,7199457387.0,3823488905.0,9622111907.0
Lesotho,61045574.3,59818360.7,327319521.8,291889791.4,289286902.8
Liberia,22101891.1,32894104.5,27909907.5,49253597.8,93167789.3
Low & middle income,1130000000000.0,1090000000000.0,1150000000000.0,1230000000000.0,1110000000000.0
Low income,9003473157.0,8247893865.0,14353723287.0,12133176018.0,29351002795.0
Lower middle income,212000000000.0,214000000000.0,207000000000.0,226000000000.0,279000000000.0
Madagascar,111572509.4,119037381.6,143549014.9,181315966.6,247891951.2
Malawi,79013199.9,72609782.7,81663840.2,101365010.2,127059635.1
Maldives,447715803.0,309282944.9,796530503.7,673308411.4,600091212.2
Mali,188327159.5,232557916.4,269857004.2,287913213.4,390269103.3
Mauritania,354759160.8,269430624.6,392885556.4,326346881.2,565286971.0
Mauritius,3121777334.0,2556654548.0,2676434500.0,760375923.1,2729318771.0
Mexico,66219118138.0,69643898698.0,76991830457.0,46926902062.0,88413525060.0
Middle East & North Africa (excluding high income),38305534941.0,38270741484.0,40431679165.0,36560783128.0,43744796556.0
Middle income,1120000000000.0,1080000000000.0,1140000000000.0,1220000000000.0,1080000000000.0
Moldova,490134838.4,608377650.5,617907383.7,539106586.7,1313651264.0
Mongolia,11641365396.0,2701363847.0,2597491112.0,3116886097.0,7305042633.0
Montenegro,1498513837.0,1168310230.0,1302771945.0,996717360.9,873078863.1
Morocco,4046370796.0,5077445358.0,5448099864.0,5447598147.0,5991282006.0
Mozambique,1838530049.0,1206267106.0,7061828587.0,5999962567.0,17298506769.0
Myanmar,692079817.9,600236372.3,877999303.3,925008711.7,1136879447.0
Nepal,262369826.2,264266860.4,278649176.0,335831778.0,460165505.7
Nicaragua,1752085214.0,1779925776.0,1831298830.0,2394526816.0,2629982462.0
Niger,128576605.4,172602700.0,192732260.3,253871220.7,326226869.1
Nigeria,6849452154.0,6054227756.0,7566775562.0,6993382085.0,12346922789.0
North Macedonia,663961760.3,1096572499.0,1431956108.0,829260876.7,2117903887.0
Pakistan,10204747736.0,9447641418.0,11045932509.0,15365754553.0,18355148997.0
Papua New Guinea,2339948699.0,1296070239.0,4047962011.0,4443212865.0,3097212409.0
Paraguay,1458241499.0,1127028957.0,1231804765.0,2033776015.0,3139442243.0
Peru,6430659149.0,6240149273.0,5071678050.0,6917045920.0,11353806261.0
Philippines,10580433580.0,9271850321.0,12137042156.0,8949387962.0,11935882674.0
Russian Federation,95663297511.0,110000000000.0,95349614310.0,97264868294.0,63653397619.0
Rwanda,318632175.6,250156991.2,571461692.3,307305837.4,1072874022.0
Samoa,28124836.0,21931316.0,14661745.6,34017860.4,34039321.2
Sao Tome and Principe,8204524.5,2457285.1,2573090.2,7032409.2,10153728.0
Senegal,1303139148.0,988057395.6,2045515711.0,1759320103.0,5341793679.0
Serbia,6868337012.0,5004227212.0,5649868115.0,5689903872.0,6517323176.0
Sierra Leone,49999690.9,50801420.9,52123682.3,62167448.3,67064614.2
Solomon Islands,13000830.6,8304142.9,11157200.3,9316582.1,77138249.6
Somalia,0.0,480864257.1,16637916.8,15374061.4,53222364.1
South Africa,20359199373.0,26857092770.0,25751262379.0,26041017748.0,10171599990.0
