Series Code,Series Name,TotalDebt
DT.TDS.DECT.CD,"Debt service on external debt, total (TDS, current US$)",6011122353657.3
DT.TDS.DLXF.CD,"Debt service on external debt, long-term (TDS, current US$)",5819224469661.199
DT.TDS.DPNG.CD,"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)",3523854885507.101
DT.TDS.PNGC.CD,"PNG, commercial banks and other creditors (TDS, current US$)",2929574168424.101
DT.AMT.PNGC.CD,"PNG, commercial banks and other creditors (AMT, current US$)",2475367051842.1
DT.TDS.DPPG.CD,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",2306382220614.5005
DT.TDS.DEPS.CD,"Debt service on external debt, public sector (PPG) (TDS, current US$)",2295021333834.8003
DT.TDS.DEGG.CD,"Debt service on external debt, general government sector (PPG) (TDS, current US$)",1527028716588.6006
DT.TDS.PRVT.CD,"PPG, private creditors (TDS, current US$)",1441316984072.7996
DT.TDS.PRVT.PS.CD,"PS, private creditors (TDS, current US$)",1432106075408.7996
DT.INT.DLXF.CD,"Interest payments on external debt, long-term (INT, current US$)",1410418027902.7004
DT.DIS.DLXF.CD,"Disbursements on external debt, long-term (DIS, current US$)",1384654092274.6997
DT.DIS.DPPG.CD,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",1380062971812.0996
DT.DIS.OFFT.CD,"PPG, official creditors (DIS, current US$)",997442362697.3999
DT.TDS.PBND.CD,"PPG, bonds (TDS, current US$)",951345510271.3002
DT.TDS.PBND.PS.CD,"PS, bonds (TDS, current US$)",944731108799.3002
DT.AMT.PRVT.CD,"PPG, private creditors (AMT, current US$)",901531163623.2
DT.AMT.PRVT.PS.CD,"PS, private creditors (AMT, current US$)",896515629539.2001
DT.TDS.OFFT.PS.CD,"PS, official creditors (TDS, current US$)",863250841976.1995
DT.INT.DPPG.CD,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",799853130535.8
DT.TDS.PRVT.GG.CD,"GG, private creditors (TDS, current US$)",798670058740.5997
DT.INT.DEPS.CD,"Interest payments on external debt, public sector (PPG) (INT, current US$)",796521718828.1
DT.TDS.OFFT.GG.CD,"GG, official creditors (TDS, current US$)",728054471049.9996
DT.TDS.DOPS.CD,"Debt service on external debt, other public sector (PPG) (TDS, current US$)",724230281286.2001
DT.TDS.PBND.GG.CD,"GG, bonds (TDS, current US$)",675005858465.1
DT.TDS.PRVT.OPS.CD,"OPS, private creditors (TDS, current US$)",615870330310.7001
DT.INT.DPNG.CD,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",608989614989.8999
DT.AMT.OFFT.CD,"PPG, official creditors (AMT, current US$)",604759959537.3002
DT.AMT.OFFT.PS.CD,"PS, official creditors (AMT, current US$)",603083205386.9003
DT.TDS.PNGB.CD,"PNG, bonds (TDS, current US$)",595436156872.2
DT.INT.DEGG.CD,"Interest payments on external debt, general government sector (PPG) (INT, current US$)",586496121540.2998
DT.AMT.PBND.CD,"PPG, bonds (AMT, current US$)",549270021319.89996
DT.AMT.PBND.PS.CD,"PS, bonds (AMT, current US$)",544873095089.89996
DT.INT.PRVT.CD,"PPG, private creditors (INT, current US$)",539635069285.10004
DT.INT.PRVT.PS.CD,"PS, private creditors (INT, current US$)",536845599916.10004
DT.DIS.BLAT.CD,"PPG, bilateral (DIS, current US$)",511415898968.0001
DT.AMT.OFFT.GG.CD,"GG, official creditors (AMT, current US$)",496731258339.9001
DT.TDS.MLAT.CD,"Multilateral debt service (TDS, current US$)",490632151148.90015
DT.TDS.MLAT.PS.CD,"PS, multilateral (TDS, current US$)",489529478591.60004
DT.DIS.MLAT.CD,"PPG, multilateral (DIS, current US$)",485834420124.20013
DT.INT.PNGC.CD,"PNG, commercial banks and other creditors (INT, current US$)",455015088208.7
DT.AMT.PRVT.GG.CD,"GG, private creditors (AMT, current US$)",443644737465.6
DT.TDS.MLAT.GG.CD,"GG, multilateral (TDS, current US$)",440251194160.90015
DT.AMT.PNGB.CD,"PNG, bonds (AMT, current US$)",439611049552.3
DT.TDS.PCBK.CD,"PPG, commercial banks (TDS, current US$)",439096150204.9
DT.TDS.PCBK.PS.CD,"PS, commercial banks (TDS, current US$)",437674200727.9
DT.AMT.PRVT.OPS.CD,"OPS, private creditors (AMT, current US$)",436592831513.5
DT.INT.PBND.CD,"PPG, bonds (INT, current US$)",402468303203.2
DT.INT.PBND.PS.CD,"PS, bonds (INT, current US$)",399927176572.2
DT.DIS.PRVT.CD,"PPG, private creditors (DIS, current US$)",383127958699.50006
DT.TDS.BLAT.CD,"PPG, bilateral (TDS, current US$)",373624592234.7
DT.TDS.BLAT.PS.CD,"PS, bilateral (TDS, current US$)",373315591048.89996
DT.INT.PRVT.GG.CD,"GG, private creditors (INT, current US$)",355247830965.80005
DT.AMT.PBND.GG.CD,"GG, bonds (AMT, current US$)",351219278381.60004
DT.AMT.PCBK.CD,"PPG, commercial banks (AMT, current US$)",326963006652.70013
DT.AMT.PCBK.PS.CD,"PS, commercial banks (AMT, current US$)",325982379491.70013
DT.INT.PBND.GG.CD,"GG, bonds (INT, current US$)",324360605662.4
DT.TDS.PCBK.OPS.CD,"OPS, commercial banks (TDS, current US$)",314721518761.1
DT.AMT.MLAT.CD,"PPG, multilateral (AMT, current US$)",308085716130.2999
DT.AMT.MLAT.PS.CD,"PS, multilateral (AMT, current US$)",307204224572.49994
DT.AMT.BLAT.CD,"PPG, bilateral (AMT, current US$)",296042650205.0001
DT.AMT.BLAT.PS.CD,"PS, bilateral (AMT, current US$)",295819106347.1001
DT.TDS.BLAT.GG.CD,"GG, bilateral (TDS, current US$)",287904192429.40015
DT.AMT.MLAT.GG.CD,"GG, multilateral (AMT, current US$)",270597561313.40005
