Country Name,TotalDebt
Afghanistan,878702615.5999998
Albania,7372980015.199999
Algeria,1000647789.0999998
Angola,77867840361.0
Argentina,304699322428.30005
Armenia,6174747882.199999
Azerbaijan,9623455969.100002
Bangladesh,32411654251.5
Belarus,38078697470.2
Belize,1044679885.4999999
Benin,4309832126.099999
Bhutan,1038702195.6000001
Bolivia,7785575647.8
Bosnia and Herzegovina,10053130143.9
Botswana,1424865307.7
Brazil,260471566214.5
Bulgaria,26479955193.4
Burkina Faso,3679009054.6
Burundi,394526802.1999999
Cabo Verde,1092357717.0
Cambodia,10590837392.699999
Cameroon,14401546452.600002
Central African Republic,210711442.99999997
Chad,2932834241.2999997
China,669760339125.2999
Colombia,93531767608.8
Comoros,218111638.79999998
"Congo, Dem. Rep.",6511277948.099999
"Congo, Rep.",6623646150.9
Costa Rica,28900354639.100002
Cote d'Ivoire,17860932355.800003
Djibouti,1806799880.9999995
Dominica,219840498.20000002
Dominican Republic,11732984817.200003
East Asia & Pacific (excluding high income),1128710421095.5
Ecuador,22714697563.999996
"Egypt, Arab Rep.",83361655546.6
El Salvador,14005008077.1
Eritrea,306175353.8000001
Eswatini,520476322.99999994
Ethiopia,20357100405.300003
Europe & Central Asia (excluding high income),870501074949.4
Fiji,1306164234.0
Gabon,3845807857.6000004
"Gambia, The",861487179.8
Georgia,8520510045.800001
Ghana,14068618403.199995
Grenada,370093909.7
Guatemala,10078285229.9
Guinea,3155985181.6000004
Guinea-Bissau,312459410.7
Guyana,1367256515.3
Haiti,1318456977.7
Honduras,4789497691.699999
IDA only,374107925109.4
IDA total,611101087155.5
India,263525883324.4
Indonesia,201202045176.2
"Iran, Islamic Rep.",578596771.8
Iraq,32315094183.200005
Jamaica,8704315065.499998
Jordan,16181616591.100002
Kazakhstan,105989038991.79999
Kenya,20604372589.799995
Kosovo,1831182559.7999997
Kyrgyz Republic,5481860670.3
Lao PDR,17108624727.200005
Latin America & Caribbean (excluding high income),1126431077709.8
Least developed countries: UN classification,334329156205.5
Lebanon,31562281899.500004
Lesotho,1153418606.3
Liberia,573476081.1999999
Low & middle income,4240325820812.1
Low income,119611027846.79999
Lower middle income,1218322299196.0
Madagascar,1560795673.3000002
Malawi,971337302.3999999
Maldives,3059158004.0
Mali,3145595001.9
Mauritania,4433880934.3
Mauritius,10980685158.199999
Mexico,305167289576.3
Middle East & North Africa (excluding high income),224323930795.80002
Middle income,4122542381997.4
Moldova,4607445474.0
Mongolia,23974176100.8
Montenegro,3012361817.700001
Morocco,28123581679.0
Mozambique,48798833704.9
Myanmar,8640816091.399998
Nepal,3198005827.7
Nicaragua,8339946493.500001
Niger,2348074386.0
Nigeria,42156263813.2
North Macedonia,11600514553.300001
Pakistan,108806574221.79999
Papua New Guinea,9091339658.699999
Paraguay,10218024166.500002
Peru,29359745984.8
Philippines,41821341456.6
Russian Federation,247094004731.39996
Rwanda,3632044262.6
Samoa,281258358.2
Sao Tome and Principe,73878833.69999999
Senegal,18634300918.2
Serbia,20882957465.600002
Sierra Leone,602371615.1
Solomon Islands,231255324.79999998
Somalia,145037530.9
South Africa,31559007568.8
South Asia,469725515789.19995
Sri Lanka,56806835347.4
St. Lucia,241313715.1
St. Vincent and the Grenadines,299640893.29999995
Sub-Saharan Africa (excluding high income),421904169557.4
Sudan,3707557317.3
Suriname,2473225034.9000006
Syrian Arab Republic,861615249.1
Tajikistan,2749562160.6999993
Tanzania,12518589081.199999
Thailand,56603430125.399994
Timor-Leste,169169567.6
Togo,1433988405.6000001
Tonga,168849410.1
Tunisia,24188743187.000008
Turkiye,276612631782.5
Turkmenistan,8540642564.300001
Uganda,11042718840.000002
Ukraine,48140442719.799995
Upper middle income,2902416756310.2007
Uzbekistan,27449191687.800003
Vanuatu,149205617.1
Viet Nam,87441276211.4
"Yemen, Rep.",4343298021.0
Zambia,16699583692.6
Zimbabwe,4172756529.5000005
